333353,article,proceedings of the national academy of sciences of the united states of america,,,national academy of sciences,5,102,39,2005,sep,2005-09-27 19:51:25,"departments of molecular cell biology and physics of complex systems, the weizmann institute of science, rehovot 76100, israel.",spontaneous evolution of modularity and network motifs,"biological networks have an inherent simplicity: they are modular with a design that can be separated into units that perform almost independently. furthermore, they show reuse of recurring patterns termed network motifs. little is known about the evolutionary origin of these properties. current models of biological evolution typically produce networks that are highly nonmodular and lack understandable motifs. here, we suggest a possible explanation for the origin of modularity and network motifs in biology. we use standard evolutionary algorithms to evolve networks. a key feature in this study is evolution under an environment (evolutionary goal) that changes in a modular fashion. that is, we repeatedly switch between several goals, each made of a different combination of subgoals. we find that such  ” modularly varying goals” lead to the spontaneous evolution of modular network structure and network motifs. the resulting networks rapidly evolve to satisfy each of the different goals. such switching between related goals may represent biological evolution in a changing environment that requires different combinations of a set of basic biological functions. the present study may shed light on the evolutionary forces that promote structural simplicity in biological networks and offers ways to improve the evolutionary design of engineered systems."
9277950,article,nature,,,"nature publishing group, a division of macmillan publishers limited. all rights reserved.",6,473,7346,2011,may,2011-05-11 18:54:12,,controllability of complex networks,
613999,electronic,,,,,,,,2006,may,2006-05-05 06:07:46,,collaborative tagging and semiotic dynamics,
141840,article,proceedings of the national academy of sciences,,,national academy of sciences,5,95,25,1998,dec,2005-03-28 01:37:14,"department of genetics, stanford university school of medicine, 300 pasteur avenue, stanford, ca 94305, usa.",cluster analysis and display of genome-wide expression patterns,"a system of cluster analysis for genome-wide expression data from {dna} microarray hybridization is described that uses standard statistical algorithms to arrange genes according to similarity in pattern of gene expression. the output is displayed graphically, conveying the clustering and the underlying expression data simultaneously in a form intuitive for biologists. we have found in the budding yeast saccharomyces cerevisiae that clustering gene expression data groups together efficiently genes of known similar function, and we find a similar tendency in human data. thus patterns seen in genome-wide expression experiments can be interpreted as indications of the status of cellular processes. also, coexpression of genes of known function with poorly characterized or novel genes may provide a simple means of gaining leads to the functions of many genes for which information is not available currently."
222956,article,nature,,,nature publishing group,4,435,7043,2005,jun,2005-12-21 21:12:41,,uncovering the overlapping community structure of complex networks in nature and society,"many complex systems in nature and society can be described in terms of networks capturing the intricate web of connections among the units they are made of1, 2, 3, 4. a key question is how to interpret the global organization of such networks as the coexistence of their structural subunits (communities) associated with more highly interconnected parts. identifying these a priori unknown building blocks (such as functionally related proteins5, 6, industrial sectors7 and groups of people8, 9) is crucial to the understanding of the structural and functional properties of networks. the existing deterministic methods used for large networks find separated communities, whereas most of the actual networks are made of highly overlapping cohesive groups of nodes. here we introduce an approach to analysing the main statistical features of the interwoven sets of overlapping communities that makes a step towards uncovering the modular structure of complex systems. after defining a set of new characteristic quantities for the statistics of communities, we apply an efficient technique for exploring overlapping communities on a large scale. we find that overlaps are significant, and the distributions we introduce reveal universal features of networks. our studies of collaboration, word-association and protein interaction graphs show that the web of communities has non-trivial correlations and specific scaling properties."
4295691,article,"science (new york, n.y.)",,,,3,324,5924,2009,apr,2009-04-10 02:22:29,,coding-sequence determinants of gene expression in escherichia coli.,"synonymous mutations do not alter the encoded protein, but they can influence gene expression. to investigate how, we engineered a synthetic library of 154 genes that varied randomly at synonymous sites, but all encoded the same green fluorescent protein ({gfp}). when expressed in escherichia coli, {gfp} protein levels varied 250-fold across the library. {gfp} messenger {rna} ({mrna}) levels, {mrna} degradation patterns, and bacterial growth rates also varied, but codon bias did not correlate with gene expression. rather, the stability of {mrna} folding near the ribosomal binding site explained more than half the variation in protein levels. in our analysis, {mrna} folding and associated rates of translation initiation play a predominant role in shaping expression levels of individual genes, whereas codon bias influences global translation efficiency and cellular fitness."
249,article,nature,,,nature publishing group,4,420,6912,2002,nov,2004-11-12 15:34:56,"sony computer science laboratories, inc., shinagwa, tokyo, japan. kitano@csl.sony.co.jp",computational systems biology.,"to understand complex biological systems requires the integration of experimental and computational research -- in other words a systems biology approach. computational biology, through pragmatic modelling and theoretical exploration, provides a powerful foundation from which to address critical scientific questions head-on. the reviews in this insight cover many different aspects of this energetic field, although all, in one way or another, illuminate the functioning of modular circuits, including their robustness, design and manipulation. computational systems biology addresses questions fundamental to our understanding of life, yet progress here will lead to practical innovations in medicine, drug discovery and engineering."
678563,article,int. j. comput. vision,international journal of computer vision,,kluwer academic publishers,19,60,2,2004,nov,2006-05-31 16:26:29,"hingham, ma, usa",distinctive image features from {scale-invariant} keypoints,"this paper presents a method for extracting distinctive invariant features from images that can be used to perform reliable matching between different views of an object or scene. the features are invariant to image scale and rotation, and are shown to provide robust matching across a substantial range of affine distortion, change in {3d} viewpoint, addition of noise, and change in illumination. the features are highly distinctive, in the sense that a single feature can be correctly matched with high probability against a large database of features from many images. this paper also describes an approach to using these features for object recognition. the recognition proceeds by matching individual features to a database of features from known objects using a fast nearest-neighbor algorithm, followed by a hough transform to identify clusters belonging to a single object, and finally performing verification through least-squares solution for consistent pose parameters. this approach to recognition can robustly identify objects among clutter and occlusion while achieving near real-time performance."
300020,inproceedings,sigops oper. syst. rev.,proceedings of the nineteenth acm symposium on operating systems principles,sosp,acm,14,37,5,2003,oct,2005-08-21 13:10:35,"new york, ny, usa",the google file system,an abstract is not available.
5961524,article,nature,,,macmillan publishers limited. all rights reserved,4,461,7268,2009,oct,2009-10-18 20:18:43,,genome evolution and adaptation in a long-term experiment with escherichia coli,"the relationship between rates of genomic evolution and organismal adaptation remains uncertain, despite considerable interest. the feasibility of obtaining genome sequences from experimentally evolving populations offers the opportunity to investigate this relationship with new precision. here we sequence genomes sampled through 40,000 generations from a laboratory population of escherichia coli. although adaptation decelerated sharply, genomic evolution was nearly constant for 20,000 generations. such clock-like regularity is usually viewed as the signature of neutral evolution, but several lines of evidence indicate that almost all of these mutations were beneficial. this same population later evolved an elevated mutation rate and accumulated hundreds of additional mutations dominated by a neutral signature. thus, the coupling between genomic and adaptive evolution is complex and can be counterintuitive even in a constant environment. in particular, beneficial substitutions were surprisingly uniform over time, whereas neutral substitutions were highly variable."
4238864,article,genome biology,,,,,10,3,2009,,2009-03-31 08:39:38,,evaluation of next generation sequencing platforms for population targeted sequencing studies.,
4041910,article,science,,,american association for the advancement of science,3,323,5916,2009,feb,2009-02-13 01:51:55,,network analysis in the social sciences,"over the past decade, there has been an explosion of interest in network research across the physical and social sciences. for social scientists, the theory of networks has been a gold mine, yielding explanations for social phenomena in a wide variety of disciplines from psychology to economics. here, we review the kinds of things that social scientists have tried to explain using social network analysis and provide a nutshell description of the basic assumptions, goals, and explanatory mechanisms prevalent in the field. we hope to contribute to a dialogue among researchers from across the physical and social sciences who share a common interest in understanding the antecedents and consequences of network phenomena."
498902,article,science,,,american association for the advancement of science,3,297,5584,2002,aug,2006-02-08 15:44:54,"laboratory of cancer biology, center for studies in physics and biology, rockefeller university, new york, ny 10021, usa. elowitm@rockefeller.edu",stochastic gene expression in a single cell,"clonal populations of cells exhibit substantial phenotypic variation. such heterogeneity can be essential for many biological processes and is conjectured to arise from stochasticity, or noise, in gene expression. we constructed strains of escherichia coli that enable detection of noise and discrimination between the two mechanisms by which it is generated. both stochasticity inherent in the biochemical process of gene expression (intrinsic noise) and fluctuations in other cellular components (extrinsic noise) contribute substantially to overall variation. transcription rate, regulatory dynamics, and genetic factors control the amplitude of noise. these results establish a quantitative foundation for modeling noise in genetic networks and reveal how low intracellular copy numbers of molecules can fundamentally limit the precision of gene regulation."
8493482,article,nat rev genet,,,"nature publishing group, a division of macmillan publishers limited. all rights reserved.",11,12,2,2011,feb,2010-12-30 11:37:09,,"{rna} sequencing: advances, challenges and opportunities",
560813,article,nature,,,nature publishing group,6,440,7084,2006,mar,2006-03-30 17:19:25,,global landscape of protein complexes in the yeast saccharomyces cerevisiae.,"identification of protein-protein interactions often provides insight into protein function, and many cellular processes are performed by stable protein complexes. we used tandem affinity purification to process 4,562 different tagged proteins of the yeast saccharomyces cerevisiae. each preparation was analysed by both matrix-assisted laser desorption/ionization-time of flight mass spectrometry and liquid chromatography tandem mass spectrometry to increase coverage and accuracy. machine learning was used to integrate the mass spectrometry scores and assign probabilities to the protein-protein interactions. among 4,087 different proteins identified with high confidence by mass spectrometry from 2,357 successful purifications, our core data set (median precision of 0.69) comprises 7,123 protein-protein interactions involving 2,708 proteins. a markov clustering algorithm organized these interactions into 547 protein complexes averaging 4.9 subunits per complex, about half of them absent from the {mips} database, as well as 429 additional interactions between pairs of complexes. the data (all of which are available online) will help future studies on individual proteins as well as functional genomics and systems biology."
77453,article,,cscw,,acm press,9,,,2004,,2005-01-13 12:13:54,,"blogging as social activity, or, would you let 900 million people read your diary?",
957831,article,nature,nature,,nature publishing group,10,444,7118,2006,nov,2006-11-22 18:15:13,,global variation in copy number in the human genome.,"copy number variation ({cnv}) of {dna} sequences is functionally significant but has yet to be fully ascertained. we have constructed a first-generation {cnv} map of the human genome through the study of 270 individuals from four populations with ancestry in europe, africa or asia (the {hapmap} collection). {dna} from these individuals was screened for {cnv} using two complementary technologies: single-nucleotide polymorphism ({snp}) genotyping arrays, and clone-based comparative genomic hybridization. a total of 1,447 copy number variable regions ({cnvrs}), which can encompass overlapping or adjacent gains or losses, covering 360 megabases (12\% of the genome) were identified in these populations. these {cnvrs} contained hundreds of genes, disease loci, functional elements and segmental duplications. notably, the {cnvrs} encompassed more nucleotide content per genome than {snps}, underscoring the importance of {cnv} in genetic diversity and evolution. the data obtained delineate linkage disequilibrium patterns for many {cnvs}, and reveal marked variation in copy number among populations. we also demonstrate the utility of this resource for genetic disease studies."
108703,article,science,,,american association for the advancement of science,3,290,5500,2000,dec,2005-03-01 19:34:33,,nonlinear dimensionality reduction by locally linear embedding,"many areas of science depend on exploratory data analysis and visualization. the need to analyze large amounts of multivariate data raises the fundamental problem of dimensionality reduction: how to discover compact representations of high-dimensional data. here, we introduce locally linear embedding ({lle}), an unsupervised learning algorithm that computes low-dimensional, neighborhood-preserving embeddings of high-dimensional inputs. unlike clustering methods for local dimensionality reduction, {lle} maps its inputs into a single global coordinate system of lower dimensionality, and its optimizations do not involve local minima. by exploiting the local symmetries of linear reconstructions, {lle} is able to learn the global structure of nonlinear manifolds, such as those generated by images of faces or documents of text."
531300,article,the journal of chemical physics,,,aip,5,21,6,1953,jun,2006-03-06 13:34:11,,equation of state calculations by fast computing machines,"a general method, suitable for fast computing machines, for investigating such properties as equations of state for substances consisting of interacting individual molecules is described. the method consists of a modified monte carlo integration over configuration space. results for the two-dimensional rigid-sphere system have been obtained on the los alamos {maniac} and are presented here. these results are compared to the free volume equation of state and to a four-term virial coefficient expansion. the journal of chemical physics is copyrighted by the american institute of physics."
114322,book,,,,addison-wesley professional,,,,2001,apr,2005-03-04 21:41:20,,the wiki way: quick collaboration on the web,"{suitable for system administrators or managers seeking an affordable content-management solution, <i>the wiki way</i> shows off how to take advantage of wiki collaborative software, which allows users to post and edit content remotely. this book is all you need to get up and running with this exciting (and free) way to build and manage content.<p>  this text is first and foremost a guide to what wiki software is and how to install, customize, and administer it within your organization. early sections discuss the advantages of wiki web sites, which allow all users to add and edit content. while it might sound like a free-for-all, the authors suggest such web sites have been used successfully in research, business, and education to document project designs, for brainstorming, and for otherwise creating content in a collaborative fashion. case studies for such organizations as georgia tech, new york times digital, and motorola give a glimpse of wiki used in real settings, so you will get a sense of what to expect.<p>  this book is also a guide to the nuts and bolts of downloading and installing wiki and customizing it for your site. sections on basic tweaks to wiki's perl scripts will let you customize your site to match your organization's needs. standout material includes almost three dozen customization tips. this volume is illustrated with actual screen shots of wiki, so you can get a sense of what it is like for users to work together in such an unrestricted fashion. <p>  throughout the text, the authors are suitably upbeat about wiki's prospects for wider adoption, but they are realistic enough to note compromises (such as requiring passwords and restricting edit rights) required in business settings. they also survey the field of wiki open-source projects and clones, as well as other similar content-management solutions (such as zope and the emerging webdav standard).<p>  while it's hard to predict whether wiki-based web sites are for everyone, this book presents the pros and cons of a potentially exciting and useful tool that promotes collaborative content creation. this title can help any organization get going with a wiki web site, from the standpoint of planning, deployment, and basic administration. <i>--richard dragan</i><p>  <b>topics covered:</b><ul><li>collaboration tools explained <li>web-based collaboration <li>webdav <li>introduction to wiki <li>user conventions with wiki <li>survey of wiki open-source projects and clones <li>installing wiki (including apache web server and security issues) <li>using wiki (making notes, wiki used as a pim, content management and links, page editing) <li>how to structure wiki content (suggested default structure: pros and cons) <li>customizing wiki <li>tour of wiki perl scripts and tips for customizing your wiki site <li>wiki add-ons (including spellchecking and uploading files) <li>administration in wiki (viewing events, controlling access and authentication, database administration, and debugging techniques) <li>guidelines for wiki projects (dos and don'ts) <li>wiki case studies for education <li>business and research</ul> }"
166220,article,genome biology,genome biology,,biomed central,-64,5,10,2004,,2005-04-21 14:38:20,"department of biostatistical science, dana-farber cancer institute, 44 binney st, boston, ma 02115, usa. rgentlem@jimmy.harvard.edu",bioconductor: open software development for computational biology and bioinformatics.,"the bioconductor project is an initiative for the collaborative creation of extensible software for computational biology and bioinformatics. the goals of the project include: fostering collaborative development and widespread use of innovative software, reducing barriers to entry into interdisciplinary scientific research, and promoting the achievement of remote reproducibility of research results. we describe details of our aims and methods, identify current challenges, compare bioconductor to other open bioinformatics projects, and provide working examples."
7280291,article,nat rev genet,,,nature publishing group,10,11,7,2010,jul,2010-06-09 09:59:02,,next-generation genomics: an integrative approach,
238,article,nature,,,nature publishing group,3,407,6804,2000,oct,2004-11-12 15:04:14,"department of physics, university of notre dame, indiana 46556, usa.",the large-scale organization of metabolic networks,"in a cell or microorganism, the processes that generate mass, energy, information transfer and cell-fate specification are seamlessly integrated through a complex network of cellular constituents and reactions1. however, despite the key role of these networks in sustaining cellular functions, their large-scale structure is essentially unknown. here we present a systematic comparative mathematical analysis of the metabolic networks of 43 organisms representing all three domains of life. we show that, despite significant variation in their individual constituents and pathways, these metabolic networks have the same topological scaling properties and show striking similarities to the inherent organization of complex non-biological systems2. this may indicate that metabolic organization is not only identical for all living organisms, but also complies with the design principles of robust and error-tolerant scale-free networks2, 3, 4, 5, and may represent a common blueprint for the large-scale organization of interactions among all cellular constituents."
3819677,article,nature protocols,nat. protocols,,nature publishing group,13,4,1,2009,dec,2008-12-22 20:45:42,,systematic and integrative analysis of large gene lists using {david} bioinformatics resources.,"{david} bioinformatics resources consists of an integrated biological knowledgebase and analytic tools aimed at systematically extracting biological meaning from large gene/protein lists. this protocol explains how to use {david}, a high-throughput and integrated data-mining environment, to analyze gene lists derived from high-throughput genomic experiments. the procedure first requires uploading a gene list containing any number of common gene identifiers followed by analysis using one or more text and pathway-mining tools such as gene functional classification, functional annotation chart or clustering and functional annotation table. by following this protocol, investigators are able to gain an in-depth understanding of the biological themes in lists of genes that are enriched in genome-scale studies."
115243,inproceedings,,proceedings of the ninth acm sigkdd international conference on knowledge discovery and data mining,kdd,acm,9,,,2003,,2005-03-06 14:42:24,"new york, ny, usa",maximizing the spread of influence through a social network,"models for the processes by which ideas and influence propagate through a social network have been studied in a number of domains, including the diffusion of medical and technological innovations, the sudden and widespread adoption of various strategies in game-theoretic settings, and the effects of ""word of mouth"" in the promotion of new products. recently, motivated by the design of viral marketing strategies, domingos and richardson posed a fundamental algorithmic problem for such social network processes: if we can try to convince a subset of individuals to adopt a new product or innovation, and the goal is to trigger a large cascade of further adoptions, which set of individuals should we {target?we} consider this problem in several of the most widely studied models in social network analysis. the optimization problem of selecting the most influential nodes is {np}-hard here, and we provide the first provable approximation guarantees for efficient algorithms. using an analysis framework based on submodular functions, we show that a natural greedy strategy obtains a solution that is provably within 63\% of optimal for several classes of models; our framework suggests a general approach for reasoning about the performance guarantees of algorithms for these types of influence problems in social {networks.we} also provide computational experiments on large collaboration networks, showing that in addition to their provable guarantees, our approximation algorithms significantly out-perform node-selection heuristics based on the well-studied notions of degree centrality and distance centrality from the field of social networks."
801422,inproceedings,,proceedings of the 15th international conference on world wide web,www,acm,9,,,2006,,2006-08-14 22:57:24,"new york, ny, usa",exploring social annotations for the semantic web,"in order to obtain a machine understandable semantics for web resources, research on the semantic web tries to annotate web resources with concepts and relations from explicitly defined formal ontologies. this kind of formal annotation is usually done manually or semi-automatically. in this paper, we explore a complement approach that focuses on the ""social annotations of the web"" which are annotations manually made by normal web users without a pre-defined formal ontology. compared to the formal annotations, although social annotations are coarse-grained, informal and vague, they are also more accessible to more people and better reflect the web resources' meaning from the users' point of views during their actual usage of the web resources. using a social bookmark service as an example, we show how emergent semantics [2] can be statistically derived from the social annotations. furthermore, we apply the derived emergent semantics to discover and search shared web bookmarks. the initial evaluation on our implementation shows that our method can effectively discover semantically related web bookmarks that current social bookmark service can not discover easily."
363166,article,interactions,,,acm,9,7,6,2000,,2005-10-24 00:39:19,"new york, ny, usa",social navigation: techniques for building more usable systems,note: {ocr} errors may be found in this reference list extracted from the full text article.  {acm} has opted to expose the complete list rather than only correct and linked references.
572874,article,nature genetics,,,nature publishing group,10,34,2,2003,may,2006-04-02 03:35:56,"computer science department, stanford university, stanford, california, 94305, usa. eran@cs.stanford.edu",module networks: identifying regulatory modules and their condition-specific regulators from gene expression data,"much of a cell's activity is organized as a network of interacting modules: sets of genes coregulated to respond to different conditions. we present a probabilistic method for identifying regulatory modules from gene expression data. our procedure identifies modules of coregulated genes, their regulators and the conditions under which regulation occurs, generating testable hypotheses in the form 'regulator x regulates module y under conditions w'. we applied the method to a saccharomyces cerevisiae expression data set, showing its ability to identify functionally coherent modules and their correct regulators. we present microarray experiments supporting three novel predictions, suggesting regulatory roles for previously uncharacterized proteins."
302050,article,"science (new york, n.y.)",,,american association for the advancement of science,4,297,5586,2002,aug,2005-08-24 03:24:55,,hierarchical organization of modularity in metabolic networks.,"spatially or chemically isolated functional modules composed of several cellular components and carrying discrete functions are considered fundamental building blocks of cellular organization, but their presence in highly integrated biochemical networks lacks quantitative support. here, we show that the metabolic networks of 43 distinct organisms are organized into many small, highly connected topologic modules that combine in a hierarchical manner into larger, less cohesive units, with their number and degree of clustering following a power law. within escherichia coli, the uncovered hierarchical modularity closely overlaps with known metabolic functions. the identified network architecture may be generic to system-level cellular organization."
438129,article,nature,,,nature publishing group,1,438,7070,2005,dec,2005-12-17 01:31:29,,internet encyclopaedias go head to head,"jimmy wales' wikipedia comes close to britannica in terms of the accuracy of its science entries, a nature investigation finds. {update}: see details of how the data were collected for this article in the supplementary information. {update} 2 (28 march 2006). the results reported in this news story and their interpretation have been disputed by encyclopaedia britannica. nature responded to these objections . one of the extraordinary stories of the internet age is that of wikipedia, a free online encyclopaedia that anyone can edit. this radical and rapidly growing publication, which includes close to 4 million entries, is now a much-used resource."
778023,article,science,,,american association for the advancement of science,3,313,5786,2006,jul,2006-07-28 16:18:56,,reducing the dimensionality of data with neural networks,"high-dimensional data can be converted to low-dimensional codes by training a multilayer neural network with a small central layer to reconstruct high-dimensional input vectors. gradient descent can be used for fine-tuning the weights in such ""autoencoder"" networks, but this works well only if the initial weights are close to a good solution. we describe an effective way of initializing the weights that allows deep autoencoder networks to learn low-dimensional codes that work much better than principal components analysis as a tool to reduce the dimensionality of data."
2620752,article,genome research,,,cold spring harbor laboratory press,8,18,4,2008,apr,2008-04-01 19:32:16,,protein networks in disease.,"during a decade of proof-of-principle analysis in model organisms, protein networks have been used to further the study of molecular evolution, to gain insight into the robustness of cells to perturbation, and for assignment of new protein functions. following these analyses, and with the recent rise of protein interaction measurements in mammals, protein networks are increasingly serving as tools to unravel the molecular basis of disease. we review promising applications of protein networks to disease in four major areas: identifying new disease genes; the study of their network properties; identifying disease-related subnetworks; and network-based disease classification. applications in infectious disease, personalized medicine, and pharmacology are also forthcoming as the available protein network information improves in quality and coverage."
346599,article,networker,,,acm,7,9,3,2005,sep,2005-10-10 04:30:49,"new york, ny, usa",the power of collective intelligence,"though the overall health of the tech sector may have looked bleak a few years back---at least in the eyes of financial analysts---a blend of old and new ideas, evolving technologies, and changing cultural values have recently given the online world new vigor. with content derived primarily by community contribution, popular and influential services like flickr and wikipedia represent the emergence of ""collective intelligence"" as the new driving force behind the evolution of the internet."
105949,book,,,,chapman and hall/crc,,,,2003,jul,2005-02-27 14:40:33,,"bayesian data analysis, second edition (chapman \& {hall/crc} texts in statistical science)","{incorporating new and updated information, this second edition of the bestselling text in bayesian data analysis continues to emphasize practice over theory, describing how to conceptualize, perform, and critique statistical analyses from a bayesian perspective. its world-class authors provide guidance on all aspects of bayesian data analysis and include examples of real statistical analyses, based on their own research, that demonstrate how to solve complicated problems. changes in the new edition include: \&\#183;stronger focus on mcmc\&\#183;revision of the computational advice in part iii\&\#183;new chapters on nonlinear models and decision analysis\&\#183;several additional applied examples from the authors' recent research\&\#183;additional chapters on current models for bayesian data analysis such as nonlinear models, generalized linear mixed models, and more\&\#183;reorganization of chapters 6 and 7 on model checking and data collectionbayesian computation is currently at a stage where there are many reasonable ways to compute any given posterior distribution. however, the best approach is not always clear ahead of time. reflecting this, the new edition offers a more pluralistic presentation, giving advice on performing computations from many perspectives while making clear the importance of being aware that there are different ways to implement any given iterative simulation computation. the new approach, additional examples, and updated information make bayesian data analysis an excellent introductory text and a reference that working scientists will use throughout their professional life.}"
171426,article,"knowledge and data engineering, ieee transactions on",,,,15,17,6,2005,,2005-04-26 13:50:21,,toward the next generation of recommender systems: a survey of the {state-of-the-art} and possible extensions,"this paper presents an overview of the field of recommender systems and describes the current generation of recommendation methods that are usually classified into the following three main categories: content-based, collaborative, and hybrid recommendation approaches. this paper also describes various limitations of current recommendation methods and discusses possible extensions that can improve recommendation capabilities and make recommender systems applicable to an even broader range of applications. these extensions include, among others, an improvement of understanding of users and items, incorporation of the contextual information into the recommendation process, support for multcriteria ratings, and a provision of more flexible and less intrusive types of recommendations."
2283763,article,proceedings of the national academy of sciences,,,national academy of sciences,5,105,4,2008,jan,2008-01-24 08:30:49,,maps of random walks on complex networks reveal community structure,"to comprehend the multipartite organization of large-scale biological and social systems, we introduce an information theoretic approach that reveals community structure in weighted and directed networks. we use the probability flow of random walks on a network as a proxy for information flows in the real system and decompose the network into modules by compressing a description of the probability flow. the result is a map that both simplifies and highlights the regularities in the structure and their relationships. we illustrate the method by making a map of scientific communication as captured in the citation patterns of >6,000 journals. we discover a multicentric organization with fields that vary dramatically in size and degree of integration into the network of science. along the backbone of the network—including physics, chemistry, molecular biology, and medicine—information flows bidirectionally, but the map reveals a directional pattern of citation from the applied fields to the basic sciences."
6791223,article,genomics,,,,12,95,6,2010,jun,2010-03-10 11:26:23,,assembly algorithms for next-generation sequencing data,"the emergence of next-generation sequencing platforms led to resurgence of research in whole-genome shotgun assembly algorithms and software. {dna} sequencing data from the roche 454, {illumina/solexa}, and {abi} {solid} platforms typically present shorter read lengths, higher coverage, and different error profiles compared with sanger sequencing data. since 2005, several assembly software packages have been created or revised specifically for de novo assembly of next-generation sequencing data. this review summarizes and compares the published descriptions of packages named {ssake}, {sharcgs}, {vcake}, newbler, celera assembler, euler, velvet, {abyss}, {allpaths}, and {soapdenovo}. more generally, it compares the two standard methods known as the de bruijn graph approach and the overlap/layout/consensus approach to assembly."
6497618,article,bioinformatics,,,oxford university press,10,26,4,2010,feb,2010-01-07 10:57:33,,bioinformatics challenges for genome-wide association studies,"motivation: the sequencing of the human genome has made it possible to identify an informative set of >1 million single nucleotide polymorphisms ({snps}) across the genome that can be used to carry out genome-wide association studies ({gwass}). the availability of massive amounts of {gwas} data has necessitated the development of new biostatistical methods for quality control, imputation and analysis issues including multiple testing. this work has been successful and has enabled the discovery of new associations that have been replicated in multiple studies. however, it is now recognized that most {snps} discovered via {gwas} have small effects on disease susceptibility and thus may not be suitable for improving health care through genetic testing. one likely explanation for the mixed results of {gwas} is that the current biostatistical analysis paradigm is by design agnostic or unbiased in that it ignores all prior knowledge about disease pathobiology. further, the linear modeling framework that is employed in {gwas} often considers only one {snp} at a time thus ignoring their genomic and environmental context. there is now a shift away from the biostatistical approach toward a more holistic approach that recognizes the complexity of the genotype–phenotype relationship that is characterized by significant heterogeneity and gene–gene and gene–environment interaction. we argue here that bioinformatics has an important role to play in addressing the complexity of the underlying genetic basis of common human diseases. the goal of this review is to identify and discuss those {gwas} challenges that will require computational methods."
1453145,article,j. inf. sci.,journal of information science,,"sage publications, inc.",6,34,1,2008,feb,2007-07-13 01:16:09,"thousand oaks, ca, usa",the folksonomy tag cloud: when is it useful?,"the weighted list, known popularly as a 'tag cloud', has appeared on many popular folksonomy-based web-sites. flickr, delicious, technorati and many others have all featured a tag cloud at some point in their history. however, it is unclear whether the tag cloud is actually useful as an aid to finding information. we conducted an experiment, giving participants the option of using a tag cloud or a traditional search interface to answer various questions. we found that where the information-seeking task required specific information, participants preferred the search interface. conversely, where the information-seeking task was more general, participants preferred the tag cloud. while the tag cloud is not without value, it is not sufficient as the sole means of navigation for a folksonomy-based dataset. 10.1177/0165551506078083"
557229,article,biopolymers,,,"wiley subscription services, inc., a wiley company",60,22,12,1983,dec,2006-03-20 18:16:12,"biophysics department, max planck institute of medical research, 6900 heidelberg, federal republic of germany",dictionary of protein secondary structure: pattern recognition of hydrogen-bonded and geometrical features.,"for a successful analysis of the relation between amino acid sequence and protein structure, an unambiguous and physically meaningful definition of secondary structure is essential. we have developed a set of simple and physically motivated criteria for secondary structure, programmed as a pattern-recognition process of hydrogen-bonded and geometrical features extracted from x-ray coordinates. cooperative secondary structure is recognized as repeats of the elementary hydrogen-bonding patterns  ” turn” and  ” bridge.” repeating turns are  ” helices,” repeating bridges are  ” ladders,” connected ladders are  ” sheets.” geometric structure is defined in terms of the concepts torsion and curvature of differential geometry. local chain  ” chirality” is the torsional handedness of four consecutive cα positions and is positive for right-handed helices and negative for ideal twisted β-sheets. curved pieces are defined as  ” bends.” solvent  ” exposure” is given as the number of water molecules in possible contact with a residue. the end result is a compilation of the primary structure, including {ss} bonds, secondary structure, and solvent exposure of 62 different globular proteins. the presentation is in linear form: strip graphs for an overall view and strip tables for the details of each of 10.925 residues. the dictionary is also available in computer-readable form for protein structure prediction work."
1369386,article,nature,,,nature publishing group,17,447,7145,2007,jun,2007-06-07 06:47:43,,"genome-wide association study of 14,000 cases of seven common diseases and 3,000 shared controls.","there is increasing evidence that genome-wide association ({gwa}) studies represent a powerful approach to the identification of genes involved in common human diseases. we describe a joint {gwa} study (using the affymetrix {genechip} {500k} mapping array set) undertaken in the british population, which has examined approximately 2,000 individuals for each of 7 major diseases and a shared set of approximately 3,000 controls. case-control comparisons identified 24 independent association signals at p < 5 x 10(-7): 1 in bipolar disorder, 1 in coronary artery disease, 9 in crohn's disease, 3 in rheumatoid arthritis, 7 in type 1 diabetes and 3 in type 2 diabetes. on the basis of prior findings and replication studies thus-far completed, almost all of these signals reflect genuine susceptibility effects. we observed association at many previously identified loci, and found compelling evidence that some loci confer risk for more than one of the diseases studied. across all diseases, we identified a large number of further signals (including 58 loci with single-point p values between 10(-5) and 5 x 10(-7)) likely to yield additional susceptibility loci. the importance of appropriately large samples was confirmed by the modest effect sizes observed at most loci identified. this study thus represents a thorough validation of the {gwa} approach. it has also demonstrated that careful use of a shared control group represents a safe and effective approach to {gwa} analyses of multiple disease phenotypes; has generated a genome-wide genotype database for future studies of common diseases in the british population; and shown that, provided individuals with {non-european} ancestry are excluded, the extent of population stratification in the british population is generally modest. our findings offer new avenues for exploring the pathophysiology of these important disorders. we anticipate that our data, results and software, which will be widely available to other investigators, will provide a powerful resource for human genetics research."
